F (vij);prediction_trainig;F_ref;nirK2;ppx;ppk;nirS1;nirS3;nifH;pqqC;phoX;mmoX;naglu;nirK3;sga
1;training;0.25;0.132311454;-0.148400471;-0.000278249;-0.309123778;-0.051206291;-0.047196911;-1.66E-05;-0.290217042;-0.042172586;-0.173906663;-0.000163166;6.47E-06
1;training;0.25;0.041751524;0.061206794;-0.000527318;-0.083694172;-0.038738019;0;0.000126838;-0.001096966;0.023071329;0.012229371;0.004353154;-0.002138065
0;training;0.5;-0.201801468;-0.043875435;0.000112532;-0.035801275;0.001040588;-0.166530622;4.60E-08;-0.002639818;0.018580941;-0.085311885;-0.012819229;-0.001121982
0;prediction;0.25;0.025052641;0.175371944;0.336789566;0.02037535;0.1694236;-0.001049434;0.229135621;0.335568588;0.3241533;0.298695745;-0.000572113;0.14528509
1;training;0.25;0.274397825;-0.056227311;-0.000806395;-0.049924699;-0.081412936;-1.36E-06;-4.09E-08;-0.000506314;-0.087326345;-0.197147859;-0.028191122;-1.43E-05
1;training;0.5;0.014141763;0.112985151;0.001040009;-0.093410195;0.083883391;1.64E-14;0;0.001071934;0.083380873;0.197164594;1.11E-06;1.58E-07
1;training;0.25;0.078477739;0.051899604;3.20E-05;0.032310177;0.013015996;0.073257731;-6.19E-09;-0.000595659;0.017004337;0.054308546;0.082639854;0.000694048
1;prediction;0.75;0.103325267;-0.158058625;0.000170302;-0.019708261;-0.025116713;-0.187508761;-0.015383965;0.00860256;-0.02244758;-0.115412592;0.000204447;-3.41E-06
1;training;0.5;0.073691768;-0.051062737;0.000236521;-0.00609317;0.02487124;0.01145007;1.24E-07;0.002368954;0.028588889;-0.000277364;-0.000292661;9.69E-06
1;training;0.5;-0.046437685;-0.151655864;-0.001100088;-0.009276385;-0.023463203;0;-8.59E-06;-0.001309723;-0.03077573;-0.113178394;-0.141470637;-0.028432425
1;training;0.25;-0.075157418;-0.05128822;0.000179295;0.02693942;-0.036961752;0.022182956;-3.28E-10;-0.001149691;0.012659296;-0.111086602;-9.31E-05;-7.37E-06
1;prediction;0.75;0.093617842;0.020760968;-0.000176879;-0.099161481;-0.015374826;-1.52E-05;4.18E-07;0.018299262;0.013203125;0.01522794;-1.75E-05;0.037131304
0;training;0.75;-0.089049857;0.03034864;-0.00012209;0.06296708;0.007629487;0.000496459;0;-0.001263109;-0.01597517;-0.007998659;0.003978661;-2.51E-11
1;training;0.5;0.052417971;0.059306089;0.00036359;0.014075884;-0.000428527;-2.68E-09;-9.81E-09;0.000403162;0.035713578;0.016596391;-0.024035652;-2.09E-05
1;training;0.25;-0.116471351;0.05411945;0.166407201;0.045609497;-0.066958155;0.143116603;1.22E-08;-0.001686755;-0.00559994;0.167298226;0.0509476;-1.56E-06
0;prediction;0.5;0.029304965;0.110664522;0.000817999;0.070145003;0.034419885;0.019055985;0.006649744;-0.015493729;0.020098973;-0.037769346;0.014037988;0.015116896
0;training;0.5;-0.051456128;-0.059146187;2.43E-05;-0.084694193;-0.022014691;-0.011450086;-1.24E-07;-0.002719356;-0.015435283;-0.23359026;-0.003911265;-9.74E-06
1;training;0.5;0;0;0;0;0;0;0;0;0;0;0;0
1;training;0.75;-0.023778949;0.129104449;0.001312325;-0.07719883;0.034449581;-0.020384862;2.22E-16;0.002382687;0.02776913;0.112196583;-0.003841401;0.013094772
0;prediction;0.5;0.052487849;0.073233951;-0.000126257;-0.023835671;0.001032679;0.081817403;1.98E-05;0.002539047;0.001530767;0.274728321;0.026024487;-0.000245419
0;training;0.5;-0.043031731;0.058103999;-0.000250686;-0.01150597;-0.006863682;0.015832905;1.04E-05;-0.002399727;-0.002520776;0.104077815;0.000275266;3.49E-05
